t,value,label,rolling_avg,avg_score,db4_detail,db4_score,avg_alert,db4_alert
0,1.00000000,0,1.00000000,0.18395203,0.00000000,-0.67449076,0,0
1,0.00000000,0,0.50000000,-0.30658671,0.00000000,-0.67449076,0,0
2,8.00000000,0,3.00000000,2.14610696,0.00000000,-0.67449076,0,0
3,1.00000000,1,2.50000000,1.65556823,6.07975799,8.47307286,0,1
4,3.00000000,0,2.60000000,1.75367597,2.40552338,2.94484379,0,0
5,0.00000000,0,2.16666667,1.32854241,1.25012886,1.20644485,0,0
6,0.00000000,0,1.85714286,1.02487557,0.80184113,0.53195409,0,0
7,0.00000000,0,1.62500000,0.79712544,0.38822857,-0.09036463,0,0
8,0.00000000,0,1.44444444,0.61998646,0.00000000,-0.67449076,0,0
9,0.00000000,0,1.30000000,0.47827527,0.00000000,-0.67449076,0,0
10,6.00000000,0,1.72727273,0.89746291,2.89777748,3.68548605,0,0
11,7.00000000,0,2.16666667,1.32854241,1.63835743,1.79057098,0,0
12,2.00000000,0,2.15384615,1.31596449,3.54482509,4.65902960,0,1
13,0.00000000,0,2.00000000,1.16502949,0.67243160,0.33724538,0,0
14,0.00000000,0,1.86666667,1.03421916,1.35415439,1.36296098,0,0
15,1.00000000,1,1.81250000,0.98107747,0.74178196,0.44158946,0,0
16,0.00000000,0,1.75000000,0.91976013,0.83651630,0.58412613,0,0
17,2.00000000,0,1.87500000,1.04239481,1.19006969,1.11608022,0,0
18,2.00000000,0,1.50000000,0.67449076,0.57769726,0.19470871,0,0
19,6.00000000,0,1.81250000,0.98107747,1.67303261,1.84274302,0,0
20,4.00000000,0,1.87500000,1.04239481,2.38013939,2.90665121,0,0
21,0.00000000,0,1.87500000,1.04239481,1.74238296,1.94708711,0,0
22,0.00000000,0,1.87500000,1.04239481,1.67303261,1.84274302,0,0
23,0.00000000,0,1.87500000,1.04239481,0.51763809,0.10434408,0,0
24,1.00000000,1,1.93750000,1.10371215,0.48296291,0.05217204,0,0
25,0.00000000,0,1.93750000,1.10371215,0.83651630,0.58412613,0,0
26,0.00000000,0,1.56250000,0.73580810,0.22414387,-0.33724538,0,0
27,0.00000000,0,1.12500000,0.30658671,0.12940952,-0.47978205,0,0
28,0.00000000,0,1.00000000,0.18395203,0.00000000,-0.67449076,0,0
29,0.00000000,0,1.00000000,0.18395203,0.00000000,-0.67449076,0,0
30,0.00000000,0,1.00000000,0.18395203,0.00000000,-0.67449076,0,0
31,0.00000000,0,0.93750000,0.12263468,0.00000000,-0.67449076,0,0
32,0.00000000,0,0.93750000,0.12263468,0.00000000,-0.67449076,0,0
33,0.00000000,0,0.81250000,0.00000000,0.00000000,-0.67449076,0,0
34,0.00000000,0,0.68750000,-0.12263468,0.00000000,-0.67449076,0,0
35,0.00000000,0,0.31250000,-0.49053873,0.00000000,-0.67449076,0,0
36,0.00000000,0,0.06250000,-0.73580810,0.00000000,-0.67449076,0,0
37,0.00000000,0,0.06250000,-0.73580810,0.00000000,-0.67449076,0,0
38,0.00000000,0,0.06250000,-0.73580810,0.00000000,-0.67449076,0,0
39,1.00000000,0,0.12500000,-0.67449076,0.48296291,0.05217204,0,0
40,1.00000000,0,0.12500000,-0.67449076,0.35355339,-0.14253667,0,0
41,0.00000000,0,0.12500000,-0.67449076,0.61237244,0.24688075,0,0
42,0.00000000,0,0.12500000,-0.67449076,0.35355339,-0.14253667,0,0
43,0.00000000,0,0.12500000,-0.67449076,0.12940952,-0.47978205,0,0
44,0.00000000,0,0.12500000,-0.67449076,0.00000000,-0.67449076,0,0
45,0.00000000,0,0.12500000,-0.67449076,0.00000000,-0.67449076,0,0
46,0.00000000,0,0.12500000,-0.67449076,0.00000000,-0.67449076,0,0
47,0.00000000,0,0.12500000,-0.67449076,0.00000000,-0.67449076,0,0
48,0.00000000,0,0.12500000,-0.67449076,0.00000000,-0.67449076,0,0
49,0.00000000,0,0.12500000,-0.67449076,0.00000000,-0.67449076,0,0
50,0.00000000,0,0.12500000,-0.67449076,0.00000000,-0.67449076,0,0
51,0.00000000,0,0.12500000,-0.67449076,0.00000000,-0.67449076,0,0
52,1.00000000,1,0.18750000,-0.61317342,0.48296291,0.05217204,0,0
53,0.00000000,0,0.18750000,-0.61317342,0.83651630,0.58412613,0,0
54,0.00000000,0,0.18750000,-0.61317342,0.22414387,-0.33724538,0,0
55,0.00000000,0,0.12500000,-0.67449076,0.12940952,-0.47978205,0,0
56,0.00000000,0,0.06250000,-0.73580810,0.00000000,-0.67449076,0,0
