t,flows,fwd_pkts,bwd_pkts,syn_flags,ack_flags,oneway_flows,label,one_way_ratio,fb_ratio,volume_raw,asym_raw,volume_z,asym_z,volume_alert,asym_alert
0,16281.00000000,56014.00000000,22770.00000000,4.00000000,16277.00000000,8314.00000000,1,0.51065659,2.45992710,16281.00000000,30528.48274354,3659.56203067,6149.54128692,1,1
1,27184.00000000,112916.00000000,46152.00000000,4.00000000,27180.00000000,12786.00000000,1,0.47035021,2.44657985,27184.00000000,49458.17423450,6110.88628086,9963.18577269,1,1
2,26978.00000000,112360.00000000,45780.00000000,4.00000000,26972.00000000,12516.00000000,1,0.46393358,2.45431511,26978.00000000,48957.71837987,6064.57124871,9862.36211630,1,1
3,26856.00000000,110724.00000000,44760.00000000,10.00000000,26842.00000000,12612.00000000,1,0.46961573,2.47369362,26856.00000000,49146.28260717,6037.14195782,9900.35095125,1,1
4,26750.00000000,108640.00000000,44216.00000000,2.00000000,26734.00000000,12598.00000000,1,0.47095327,2.45699618,26750.00000000,48807.26137747,6013.30995099,9832.05050146,1,1
5,26494.00000000,106356.00000000,42664.00000000,2.00000000,26488.00000000,12592.00000000,1,0.47527742,2.49283956,26494.00000000,48885.44782144,5955.75340618,9847.80222678,1,1
6,26264.00000000,103812.00000000,41820.00000000,6.00000000,26250.00000000,12498.00000000,1,0.47586049,2.48231750,26264.00000000,48363.27062283,5904.04244795,9742.60250945,1,1
7,25808.00000000,98920.00000000,39522.00000000,0.00000000,25806.00000000,12512.00000000,1,0.48481091,2.50287175,25808.00000000,48037.30557239,5801.51985251,9676.93240501,1,1
8,25206.00000000,92438.00000000,36674.00000000,4.00000000,25202.00000000,12546.00000000,1,0.49773863,2.52049080,25206.00000000,47514.68271650,5666.17204011,9571.64290394,1,1
9,24698.00000000,87928.00000000,35356.00000000,8.00000000,24690.00000000,12276.00000000,1,0.49704430,2.48689086,24698.00000000,46180.91300617,5551.95827151,9302.93680783,1,1
10,25344.00000000,87352.00000000,35108.00000000,4.00000000,25340.00000000,12842.00000000,1,0.50670770,2.48805150,25344.00000000,47707.42210513,5697.19861505,9610.47288208,1,1
11,24662.00000000,83154.00000000,33576.00000000,4.00000000,24658.00000000,12586.00000000,1,0.51033979,2.47654645,24662.00000000,46412.47558266,5543.86438239,9349.58824657,1,1
12,23472.00000000,73824.00000000,29460.00000000,16.00000000,23456.00000000,12414.00000000,1,0.52888548,2.50585520,23472.00000000,45016.63591298,5276.31638113,9068.37731074,1,1
