t,flows,fwd_pkts,bwd_pkts,syn_flags,ack_flags,oneway_flows,label
0,16281.00000000,56014.00000000,22770.00000000,4.00000000,16277.00000000,8314.00000000,1
1,27184.00000000,112916.00000000,46152.00000000,4.00000000,27180.00000000,12786.00000000,1
2,26978.00000000,112360.00000000,45780.00000000,4.00000000,26972.00000000,12516.00000000,1
3,26856.00000000,110724.00000000,44760.00000000,10.00000000,26842.00000000,12612.00000000,1
4,26750.00000000,108640.00000000,44216.00000000,2.00000000,26734.00000000,12598.00000000,1
5,26494.00000000,106356.00000000,42664.00000000,2.00000000,26488.00000000,12592.00000000,1
6,26264.00000000,103812.00000000,41820.00000000,6.00000000,26250.00000000,12498.00000000,1
7,25808.00000000,98920.00000000,39522.00000000,0.00000000,25806.00000000,12512.00000000,1
8,25206.00000000,92438.00000000,36674.00000000,4.00000000,25202.00000000,12546.00000000,1
9,24698.00000000,87928.00000000,35356.00000000,8.00000000,24690.00000000,12276.00000000,1
10,25344.00000000,87352.00000000,35108.00000000,4.00000000,25340.00000000,12842.00000000,1
11,24662.00000000,83154.00000000,33576.00000000,4.00000000,24658.00000000,12586.00000000,1
12,23472.00000000,73824.00000000,29460.00000000,16.00000000,23456.00000000,12414.00000000,1
13,22268.00000000,66288.00000000,26340.00000000,4.00000000,22264.00000000,12026.00000000,1
14,21052.00000000,59644.00000000,23324.00000000,2.00000000,21050.00000000,11692.00000000,1
15,20226.00000000,53664.00000000,20920.00000000,4.00000000,20222.00000000,11462.00000000,1
16,19552.00000000,49396.00000000,18836.00000000,4.00000000,19548.00000000,11396.00000000,1
17,19150.00000000,46332.00000000,17468.00000000,0.00000000,19150.00000000,11256.00000000,1
18,18692.00000000,43812.00000000,16500.00000000,4.00000000,18688.00000000,11198.00000000,1
19,18786.00000000,42624.00000000,16488.00000000,2.00000000,18784.00000000,11156.00000000,1
20,19372.00000000,43704.00000000,16876.00000000,2.00000000,19370.00000000,11454.00000000,1
21,19026.00000000,42032.00000000,16268.00000000,0.00000000,19026.00000000,11300.00000000,1
22,18682.00000000,40412.00000000,15460.00000000,0.00000000,18680.00000000,11244.00000000,1
23,18106.00000000,38784.00000000,14792.00000000,0.00000000,18106.00000000,10946.00000000,1
24,17916.00000000,37832.00000000,14432.00000000,0.00000000,17916.00000000,10896.00000000,1
25,17684.00000000,36928.00000000,13830.00000000,0.00000000,17676.00000000,10922.00000000,1
26,17358.00000000,35956.00000000,13356.00000000,0.00000000,17358.00000000,10802.00000000,1
27,17388.00000000,35728.00000000,13496.00000000,0.00000000,17388.00000000,10720.00000000,1
28,17372.00000000,35480.00000000,13340.00000000,0.00000000,17372.00000000,10766.00000000,1
29,16748.00000000,34016.00000000,12256.00000000,0.00000000,16748.00000000,10656.00000000,1
30,14984.00000000,31108.00000000,8324.00000000,0.00000000,14984.00000000,10850.00000000,1
31,14728.00000000,30464.00000000,8068.00000000,0.00000000,14728.00000000,10734.00000000,1
32,14444.00000000,29776.00000000,7852.00000000,2.00000000,14442.00000000,10540.00000000,1
33,14022.00000000,28744.00000000,7708.00000000,0.00000000,14022.00000000,10194.00000000,1
34,13854.00000000,28192.00000000,7284.00000000,0.00000000,13854.00000000,10216.00000000,1
35,13498.00000000,27420.00000000,7152.00000000,0.00000000,13498.00000000,9928.00000000,1
36,13390.00000000,27052.00000000,6980.00000000,0.00000000,13390.00000000,9902.00000000,1
37,13560.00000000,27308.00000000,7028.00000000,0.00000000,13560.00000000,10054.00000000,1
38,13648.00000000,27476.00000000,7152.00000000,0.00000000,13648.00000000,10080.00000000,1
39,14430.00000000,28924.00000000,8816.00000000,2.00000000,14428.00000000,10024.00000000,1
40,17570.00000000,35856.00000000,13776.00000000,8.00000000,17562.00000000,10688.00000000,1
41,17994.00000000,36636.00000000,14092.00000000,2.00000000,17992.00000000,10952.00000000,1
42,17720.00000000,35956.00000000,13828.00000000,4.00000000,17716.00000000,10806.00000000,1
